Dấu thời gian,"A1. Bạn hiện đang học ngành/khoa nào?
(ví dụ: Khoa học máy tính )",A2. Bạn đã nhập học được bao lâu?,A3. Bạn là sinh viên hệ nào?,"B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Học phí, miễn giảm học phí]","B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Đăng ký học phần, kế hoạch học tập]","B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Quy chế đào tạo (tín chỉ, điều kiện tốt nghiệp...)]",B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Ký túc xá],B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Học bổng],B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Điểm rèn luyện],"B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Hoạt động đoàn, hội, câu lạc bộ]",B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Học trực tuyến / miễn công nhận điểm],"B1. Hãy đánh giá mức độ bạn quan tâm/thắc mắc về từng chủ đề sau [Thủ tục hành chính (giấy tờ, xác nhận sinh viên...)]","C1. Khi mới nhập học, bạn từng gặp khó khăn hoặc thắc mắc gì nhất?",C2. Bạn thường tìm thông tin ở đâu khi có thắc mắc?,C3. Bạn đánh giá việc tìm thông tin hiện tại (qua các kênh trên) dễ hay khó?,"C4. Nếu có một trợ lý ảo (chatbot) trả lời tự động các thắc mắc, bạn muốn hỏi nó điều gì nhất?",C5. Bạn mong muốn trợ lý ảo trả lời theo hình thức nào?,C6. Góp ý thêm (nếu có)
11/09/2026 23:20:31,Khoa học máy tính,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,5,1,5,5,3,3,3,"Khó khăn trong việc tìm phòng học, vì mã phòng học đôi khi quá mới với tân sinh viên như tụi mình","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên",Bình thường,"sẽ hỏi cách tính điểm
hỏi cách để đạt học bổng khuyến khích học tập
hỏi làm sao để đạt sinh viên 5 tốt","Trả lời ngắn gọn, trực tiếp",không có
11/09/2026 23:34:45,Thương mại điện tử,Mới nhập học (chưa hết học kỳ 1),Liên kết quốc tế,1,4,4,1,1,1,4,1,1,Kết bạn,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên, Hỏi phòng ban liên quan trực tiếp (Đào tạo, CTSV...), Khác",Rất dễ,Putin là ghệ của trump đúng không,"Không quan trọng, miễn đúng và nhanh",Đéo có
11/09/2026 23:37:38,Khoa học máy tính,Đã học được 1 năm trở lên,Chính quy,5,5,5,1,5,5,4,4,5,kết bạn,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi cố vấn học tập / giảng viên",Dễ,Quy chế tính điểm rèn luyện,Trả lời chi tiết kèm giải thích,
11/09/2026 23:46:17,Kinh tế,Đã học được 1 năm trở lên,Chính quy,5,5,5,5,5,5,5,5,5,Không có khó khăn gì ,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Hỏi cố vấn học tập / giảng viên, Hỏi phòng ban liên quan trực tiếp (Đào tạo, CTSV...)",Dễ,"1. Điều kiện để được xét tốt nghiệp là gì?
2. Học môn thay thế khóa luận thì có những yêu cầu và quy định gì?
3. Nếu chọn học môn thay thế thì có ảnh hưởng đến chất lượng đầu ra hoặc kết quả tốt nghiệp so với làm khóa luận không?",Trả lời chi tiết kèm giải thích,Không có
12/09/2026 6:40:14,Quản Trị Kinh Doanh ,Mới nhập học (chưa hết học kỳ 1),Chính quy,3,4,5,3,5,5,4,4,5,Quy định nhận học bổng ,"Website chính thức của trường/khoa, Hỏi cố vấn học tập / giảng viên",Dễ,"Bài tập khó 
Liệt kê dữ liệu 
Làm hình ảnh ",Trả lời kèm link/nguồn tài liệu tham khảo để đọc thêm,Không
12/09/2026 12:39:25,Quản trị Dịch vụ Du lịch và Lữ hành,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,5,2,5,4,5,4,5,"Không biết quy trình đăng ký học phần, xếp KHHT","Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo",Dễ,"1. Tổng hợp các học bổng phù hợp với điều kiện của tôi.
2. Cách xếp KHHT hợp lý.
3. Cách học tốt một số học phần cụ thể.",Trả lời kèm link/nguồn tài liệu tham khảo để đọc thêm,
12/09/2026 12:43:31,Y Khoa,Đã học được 1 năm trở lên,Chính quy,5,1,1,1,5,5,1,5,3,Chưa gặp,"Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo",Rất dễ,"Hỏi xem chatbox cung cấp thông tin về những gì?
Cấu trúc trả lời câu hỏi như thế nào?
Ưu nhược điển gì so với AI khác?","Trả lời ngắn gọn, trực tiếp",
12/09/2026 12:43:53,Thú y ,Đã học được 1 năm trở lên,Chính quy,5,5,5,3,5,5,5,4,4,"Không biết sắp xếp KHHT, đăng ký học phần như thế nào ","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Hỏi cố vấn học tập / giảng viên",Dễ,Cách thức thủ tục làm các giấy tờ liên quan ,Trả lời chi tiết kèm giải thích,
12/09/2026 12:45:53,Công nghệ sinh học,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,5,4,5,5,3,5,5,"Không biết đăng ký học phần ở đâu, phòng học","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Hỏi cố vấn học tập / giảng viên",Dễ,Phòng học xxx nằm ở đâu?,Trả lời chi tiết kèm giải thích,
12/09/2026 12:47:11,Tự động hoá,Mới nhập học (chưa hết học kỳ 1),Chính quy,5,5,5,3,5,5,4,5,5,"Không biết đăng ký học phần ở đâu, chưa hiểu rõ về các lịch học và thắc mắc về từng thầy cô giảng dạy.","Website chính thức của trường/khoa, Hỏi bạn bè, anh chị khóa trên, Group Facebook / Zalo, Hỏi phòng ban liên quan trực tiếp (Đào tạo, CTSV...)",Rất dễ,"- Hỏi câu hỏi liên quan đến vấn đề về môi trường
- Câu hỏi về không gian, vũ trụ, các hành tinh
- Câu hỏi về cảm xúc, tâm lý của con người",Trả lời kèm link/nguồn tài liệu tham khảo để đọc thêm,Không có ý kiến gì thêm
