Câu hỏi (mẫu),Chủ đề,Intent,Từ khóa,"Câu trả lời (thật, có nguồn)",Nguồn,URL nguồn,Số biến thể câu hỏi trong file gốc
Tân sinh viên cần chuẩn bị những giấy tờ gì để nhập học?,Nhập học,nhap_hoc,"hồ sơ nhập học, giấy báo trúng tuyển","Hồ sơ nhập học gồm: Giấy báo trúng tuyển; Giấy chứng nhận kết quả thi TN THPT (hoặc bằng TN THPT nếu tốt nghiệp từ 2025 trở về trước); Học bạ THPT (bản sao công chứng); Giấy khai sinh (bản sao công chứng); CCCD/Hộ chiếu (bản sao không công chứng); Phiếu thông tin sinh viên (theo mẫu); Giấy chứng nhận đăng ký NVQS (nam sinh viên); Giấy tờ minh chứng đối tượng ưu tiên (nếu có); Đơn cam kết bồi hoàn học phí/chi phí sinh hoạt (nếu thuộc diện áp dụng). Khóa 52: nộp hồ sơ từ 14/8 đến 22/8/2026 tại Tòa nhà Công nghệ cao (ATL), Khu II.",Cổng Tân sinh viên ĐHCT - Hướng dẫn thủ tục nhập học,https://tansinhvien.ctu.edu.vn/ho-so-nhap-hoc/109-xac-nhan-nhap-hoc-va-nop-ho-so-nhap-hoc-2,6
Cho mình hỏi làm sao để xem thời khóa biểu của tân sinh viên khóa 52?,Học tập,thoi_khoa_bieu,"thời khóa biểu, lớp khóa 52","Sinh viên xem hướng dẫn bố trí lớp và cách xem thời khóa biểu tại mục ""Học tập"" trên Cổng Tân sinh viên. Với chương trình tiên tiến và chất lượng cao, có trang thời khóa biểu riêng.","Cổng Tân sinh viên ĐHCT - Bố trí lớp, thời khóa biểu",https://tansinhvien.ctu.edu.vn/hoc-tap/bo-tri-lop-thoi-khoa-bieu,3
Em muốn tìm phòng học thì xem sơ đồ nhà học ở đâu?,Học tập,phong_hoc,"sơ đồ nhà học, ký hiệu phòng","Xem sơ đồ nhà học và ký hiệu phòng học tại trang ""Sơ đồ nhà học - Ký hiệu phòng học"" trên Cổng Tân sinh viên. Mỗi dãy nhà có ký hiệu riêng (VD: DI = Trường CNTT&TT, KH = Khoa KHTN, KT = Trường Kinh tế...), có sơ đồ mặt bằng Khu I, II, III kèm theo.",Cổng Tân sinh viên ĐHCT - Sơ đồ nhà học,https://tansinhvien.ctu.edu.vn/hoc-tap/so-do-nha-hoc-ky-hieu-phong-hoc,3
Các tiết học ở Đại học Cần Thơ được phân bố thời gian như thế nào?,Học tập,tiet_hoc,tiết học,Buổi sáng: Tiết 1 (7:00-7:50) đến Tiết 5 (kết thúc 11:30). Buổi chiều: Tiết 6 (13:30) đến Tiết 9 (kết thúc 17:00). Buổi tối: Tiết 11 (18:20) đến Tiết 12 (kết thúc 20:00). Giữa các tiết có 10 phút nghỉ (trừ một số tiết liền mạch).,Cổng Tân sinh viên ĐHCT - Bảng phân bố thời gian tiết học (trích Quy định công tác học vụ),https://tansinhvien.ctu.edu.vn/hoc-tap/bang-phan-bo-thoi-gian-tiet-hoc,3
Lịch học Giáo dục Quốc phòng và An ninh của tân sinh viên xem ở đâu?,Học tập,giao_duc_quoc_phong,giáo dục quốc phòng và an ninh,"Lịch học Giáo dục Quốc phòng và An ninh khóa 52, học kỳ 1 năm học 2026-2027 được công bố dưới dạng văn bản PDF trên Cổng Tân sinh viên, mục Học tập.",Cổng Tân sinh viên ĐHCT - Lịch học GDQP&AN,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Daotao/LICH_GDQP_K52_HK1_2026_2027signedsignedsigned.pdf,3
Em muốn xin miễn học phần thì cần làm gì?,Học tập,mien_hoc_phan,miễn học phần,"Sinh viên khóa 52 xem thông báo hướng dẫn xét miễn, công nhận điểm, rút học phần và tải mẫu đơn tương ứng trên Cổng Tân sinh viên, mục Học tập.","Cổng Tân sinh viên ĐHCT - Hướng dẫn miễn, công nhận điểm, rút học phần",https://tansinhvien.ctu.edu.vn/hoc-tap/huong-dan-mien-cong-nhan-diem-rut-hoc-phan,3
Nếu muốn rút một học phần thì thủ tục như thế nào?,Học tập,rut_hoc_phan,rút học phần,"Thủ tục rút học phần dùng chung mẫu đơn với miễn/công nhận điểm học phần, xem hướng dẫn chi tiết trên Cổng Tân sinh viên, mục Học tập.","Cổng Tân sinh viên ĐHCT - Hướng dẫn miễn, công nhận điểm, rút học phần",https://tansinhvien.ctu.edu.vn/hoc-tap/huong-dan-mien-cong-nhan-diem-rut-hoc-phan,3
Trường có hướng dẫn công nhận điểm học phần đã học trước đó không?,Học tập,cong_nhan_diem,công nhận điểm,"Có. Trường có hướng dẫn và mẫu đơn xét công nhận điểm học phần đã học trước đó, áp dụng cùng quy trình với miễn/rút học phần.","Cổng Tân sinh viên ĐHCT - Hướng dẫn miễn, công nhận điểm, rút học phần",https://tansinhvien.ctu.edu.vn/hoc-tap/huong-dan-mien-cong-nhan-diem-rut-hoc-phan,2
Tân sinh viên có phải kiểm tra ngoại ngữ đầu khóa không?,Học tập,ngoai_ngu,kiểm tra ngoại ngữ đầu khóa,"Có. Trường tổ chức kiểm tra ngoại ngữ đầu khóa (Anh văn/Pháp văn) cho sinh viên khóa 52 (trừ SV chương trình tiên tiến/CLC, ngành Ngôn ngữ Anh, Sư phạm tiếng Anh) để xét miễn học các học phần ngoại ngữ căn bản. Phí dự kiểm tra 70.000đ, nộp cùng học phí. Sinh viên có chứng chỉ đạt bậc 3 CEFR (B1) trở lên được miễn dự kiểm tra và miễn học phần. Thời gian kiểm tra: 12/9-17/9/2026.",Cổng Tân sinh viên ĐHCT - Kiểm tra ngoại ngữ đầu khóa,https://tansinhvien.ctu.edu.vn/hoc-tap/kiem-tra-ngoai-ngu-dau-khoa,2
Có chứng chỉ tiếng Anh thì có được miễn học phí học phần tiếng Anh tăng cường không?,Học tập,tieng_anh,chứng chỉ tiếng Anh,Có chính sách miễn học phí các học phần tiếng Anh tăng cường cho sinh viên chương trình tiên tiến và chất lượng cao khóa 52 có chứng chỉ tiếng Anh đạt yêu cầu quy định.,Cổng Tân sinh viên ĐHCT - Miễn học phí học phần tiếng Anh tăng cường,https://tansinhvien.ctu.edu.vn/hoc-tap/mien-hoc-phi-cac-hoc-phan-tieng-anh-tang-cuong-cho-sinh-vien-ctdt-tien-tien-va-ctdt-chat-luong-cao-khoa-52-co-chung-chi-tieng-anh,2
Tân sinh viên xem thông tin học phí ở đâu?,Học phí,hoc_phi,học phí,"Thông tin học phí (mức thu, thời hạn đóng) được Trường công bố qua thông báo riêng trên Cổng Tân sinh viên theo từng học kỳ/khóa. Sinh viên theo dõi mục Học phí - Học bổng - Chế độ chính sách trên cổng để cập nhật thông báo mới nhất.",Cổng Tân sinh viên ĐHCT - Mục Học phí,https://tansinhvien.ctu.edu.vn/,2
Những tân sinh viên nào được xem xét miễn hoặc giảm học phí?,Học phí,mien_giam_hoc_phi,miễn giảm học phí,Đối tượng miễn/giảm học phí được xác định theo Nghị định 81/2021/NĐ-CP và 104/2022/NĐ-CP của Chính phủ (không áp dụng chung cho hộ nghèo/cận nghèo mà theo các nhóm đối tượng cụ thể được quy định). Sinh viên xem chi tiết danh sách đối tượng và hồ sơ cần nộp trong thông báo miễn giảm học phí của học kỳ tương ứng.,Cổng Tân sinh viên ĐHCT / Phòng CTSV - Thông báo miễn giảm học phí,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Thongbao/04-8-2026_TB_mghp_tansvsigned.pdf,2
Hồ sơ miễn giảm học phí cần nộp như thế nào?,Học phí,ho_so_mien_giam,hồ sơ miễn giảm,Hồ sơ miễn giảm học phí nộp theo thông báo riêng của từng học kỳ (link tải mẫu đơn kèm theo thông báo). Sinh viên khóa 52 xem thông báo và nộp hồ sơ theo hướng dẫn tại mục Học phí - Học bổng trên Cổng Tân sinh viên.,"Cổng Tân sinh viên ĐHCT - Nộp hồ sơ miễn, giảm học phí",https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Thongbao/04-8-2026_TB_mghp_tansvsigned.pdf,2
Tân sinh viên thuộc diện khó khăn có thể xin trợ cấp xã hội không?,Chính sách,tro_cap_xa_hoi,trợ cấp xã hội,"Có. Sinh viên khó khăn nộp hồ sơ xin Trợ cấp Xã hội theo thông báo riêng của từng học kỳ, có mẫu đơn kèm theo. Ngoài ra, trường hợp khó khăn đột xuất (thiên tai, bệnh dịch, hỏa hoạn...) có thể làm đơn xin trợ cấp khó khăn đột xuất nộp tại Phòng CTSV.",Cổng Tân sinh viên ĐHCT - Nộp hồ sơ Trợ cấp Xã hội,https://tansinhvien.ctu.edu.vn/images/upload/TSV_K52/Thongbao/04_08TB_trocapxahoisignednew.pdf,2
